
=== Sheet: 00_总目录 ===
大梁江湖TRPG 大小样库						
生成日期	2026年6月19日					
说明	合并近期已确定口径的小样库；各库保持独立工作表，便于后续扩容为正式数据库。					
库名	来源文件	合并工作表数	合并后工作表前缀	当前口径	备注	
内功	内功库小样本_修正版_2026年6月19日.xlsx	6	内功	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。		
招式	招式库小样本_单表版_2026年6月19日.xlsx	5	招式	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。		
装备	装备库小样本_2026年6月19日.xlsx	8	装备	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。	谱本不放文书库；装备库做完后需回滚招式库的持握/装备许可字段。	
药物	药物库小样本_修正版_2026年6月19日.xlsx	6	药物	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。		
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	6	坐骑	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。		
文书	文书物品库小样本_2026年6月19日.xlsx	6	文书	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。		
库名	来源文件	源工作表	合并后工作表	数据行数	列数	口径
内功	内功库小样本_修正版_2026年6月19日.xlsx	01_总览	内功_01_总览	6	13	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	02_表属性运算	内功_02_表属性运算	75	12	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	03_取气运算	内功_03_取气运算	75	14	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	04_取气映射	内功_04_取气映射	10	6	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	05_被动	内功_05_被动	12	9	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
内功	内功库小样本_修正版_2026年6月19日.xlsx	06_开发者平衡	内功_06_开发者平衡	6	15	内功运算口径：六根值×系数+加值，产出表属性贡献与取气值；开发者平衡单独存放。
招式	招式库小样本_单表版_2026年6月19日.xlsx	01_招式主视图	招式_01_招式主视图	23	21	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	02_槽值触发明细	招式_02_槽值触发明细	42	9	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	03_便行与随手便行	招式_03_便行与随手便行	9	10	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	04_强度标尺	招式_04_强度标尺	9	6	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
招式	招式库小样本_单表版_2026年6月19日.xlsx	05_数据字典	招式_05_数据字典	9	4	招式口径：成招→基础效果→槽值触发→响应→落果；起式低门槛，式与势只归招式。
装备	装备库小样本_2026年6月19日.xlsx	01_装备主表	装备_01_装备主表	19	14	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	02_表属性贡献	装备_02_表属性贡献	11	7	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	03_常规气骰	装备_03_常规气骰	3	11	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	04_临时气骰	装备_04_临时气骰	4	11	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	05_装备许可	装备_05_装备许可	16	7	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	06_被动与状态	装备_06_被动与状态	6	7	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	07_开发者平衡	装备_07_开发者平衡	11	11	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
装备	装备库小样本_2026年6月19日.xlsx	08_字典	装备_08_字典	13	3	装备口径：武器、护甲、佩饰、器具；可直接给表属性、常规气骰、临时气骰与许可。
药物	药物库小样本_修正版_2026年6月19日.xlsx	01_药物主表	药物_01_药物主表	13	11	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	02_效果明细	药物_02_效果明细	13	9	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	03_临时气骰	药物_03_临时气骰	3	10	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	04_代价限制	药物_04_代价限制	4	6	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	05_开发者平衡	药物_05_开发者平衡	13	10	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
药物	药物库小样本_修正版_2026年6月19日.xlsx	06_口径字典	药物_06_口径字典	7	2	药物口径：效果必须有明确数值、时点和落果；不写模糊风险或压力。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	01_坐骑载具主表	坐骑_01_坐骑载具主表	10	12	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	02_效果明细	坐骑_02_效果明细	10	8	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	03_临时气骰	坐骑_03_临时气骰	2	10	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	04_状态规则	坐骑_04_状态规则	6	4	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	05_开发者平衡	坐骑_05_开发者平衡	10	10	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
坐骑	坐骑载具库小样本_2026年6月19日.xlsx	06_口径字典	坐骑_06_口径字典	4	2	坐骑载具口径：处理移动、载重、追逐、逃离、状态与临时气骰。
文书	文书物品库小样本_2026年6月19日.xlsx	01_文书物品主表	文书_01_文书物品主表	12	11	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	02_效果明细	文书_02_效果明细	12	8	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	03_查验限制	文书_03_查验限制	6	5	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	04_资源状态	文书_04_资源状态	6	3	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	05_开发者平衡	文书_05_开发者平衡	12	9	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。
文书	文书物品库小样本_2026年6月19日.xlsx	06_口径字典	文书_06_口径字典	5	2	文书物品口径：处理身份、通行、证物、账册、地图等；谱本另归外功法门/武艺成长。

=== Sheet: 00_全局口径 ===
规则对象	确定口径
气骰	统一写“气骰”，不是“气头”。口语可说气头，表格与规则字段一律写气骰。
内功	内功通过读取六根运算，产出表属性贡献和取气值；不写式位，不直接进交锋。
招式	招式包含外功、法门、截击、应招；基础效果固定，槽值触发才读取表属性。
装备	装备库只含武器、护甲、佩饰、器具；药物、文书物品、坐骑载具另库。
武器	武器分主手、副手、双手；盾牌归武器。
护甲	护甲分上装和下装。
佩饰	佩饰最多同时生效1件。
药物	必须写明确数值、时点、落果，不写“压力”“风险”“延缓一次”等模糊字段。
谱本	谱本不放文书物品库，后续归外功、法门、武艺成长体系。
待回滚事项	装备库确定后，回滚招式库：持握方式、装备许可、主副手/双手、脱手/缴械/损坏关闭条件。

=== Sheet: 内功_01_总览 ===
内功ID	内功名	层级	阴阳标签	占窍	占窍数	读取六根组	重数上限	被动摘要	散功处理	并行限制	获取来源	玩家可见说明
NG001	小周天养息功	俗家	中平	丹田	1	顶门、丹田、命门、心口、目窍、步根	三重	三重运行：调息额外取回1枚任意常规气骰；沉淀后弱化为取回1枚最低阶常规气骰。	散功后停止表属性运算与取气运算；若已沉淀，仅保留弱化被动。	无	武馆、镖局、基础师承	基础内功；读全六根；用于让开局每个六根都有作用。
NG002	铁衣伏虎劲	行家	少阳、厚重	命门	1	丹田、命门、心口	四重	运行：每场景第一次承受气血结果时，可先以护体处理2点；高重增强硬抗。	散功后停止护体、取气与气血运算；沉淀后可保留一次轻护体被动。	可选：与极阴禁功并行时关闭沉淀被动	军镇、镖局、拳馆	硬功路线；读得少，所以单根转化强。
NG003	照影观微诀	行家	少阴、轻灵	目窍	1	顶门、目窍、步根	四重	运行：每场景第一次识破失败时，可获得一条明显错误方向；高重改善读谱与查探。	散功后停止观照、身势、阴气取气；沉淀后保留一次读谱误读缓冲。	无	书院、密探、游侠师承	观照与身势路线；适合查探、识破、潜行、截击判断。
NG004	沧澜归息诀	神功	混元、中平	丹田、顶门	2	顶门、丹田、命门、心口、目窍、步根	五重	运行：调息类与行气类条目更稳；圆满后可把一次返照改为指定气性。	散功后停止神功取气与高重运算；沉淀后仅留极弱返照被动。	与血行、毒行禁功并行时需开发者审查	大派核心、剧情谱本	高位均衡神功；占两窍，读全六根，覆盖广但受上限警戒。
NG005	九死燃命经	禁功	极阳、血行	命门、心口	2	命门、心口	五重	运行：濒死前后有强爆发和返气潜力；代价由禁功条目或场景写入。	散功按禁功处理，停止全部运算，并可能写入长期伤势。	不与极阴、清静调息类内功并行	禁传残卷、黑市、剧情	高风险窄读禁功；读两根，所以单根系数高，但必须限制。
NG006	寒江夜行功	俗家	少阴、轻灵	步根	1	目窍、步根、丹田	三重	运行：每场景第一次脱离失败时，不额外获得迟滞；沉淀后改为整身轻修正。	散功后停止身势、观照与阴气取气；沉淀后保留弱化脱离被动。	无	船帮、夜行客、渡口黑市	俗家偏身法；读三根，强于全读基础功的单根效率。

=== Sheet: 内功_02_表属性运算 ===
内功ID	内功名	重数	读取六根	转入表属性	六根值变量	示例六根值	乘数	加值	运算式	示例贡献	口径说明
NG001	小周天养息功	一重	顶门	观照	顶门值	5	1	0	顶门值×1+0	5	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	一重	丹田	回气	丹田值	4	1	0	丹田值×1+0	4	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	一重	命门	气血	命门值	5	1	1	命门值×1+1	6	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	一重	心口	爆发	心口值	3	1	0	心口值×1+0	3	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	一重	目窍	观照	目窍值	4	1	0	目窍值×1+0	4	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	一重	步根	身势	步根值	4	1	0	步根值×1+0	4	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	二重	顶门	观照	顶门值	5	1	1	顶门值×1+1	6	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	二重	丹田	回气	丹田值	4	1	1	丹田值×1+1	5	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	二重	命门	气血	命门值	5	1	2	命门值×1+2	7	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	二重	心口	爆发	心口值	3	1	1	心口值×1+1	4	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	二重	目窍	观照	目窍值	4	1	1	目窍值×1+1	5	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	二重	步根	身势	步根值	4	1	1	步根值×1+1	5	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	三重	顶门	观照	顶门值	5	1	2	顶门值×1+2	7	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	三重	丹田	回气	丹田值	4	1	2	丹田值×1+2	6	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	三重	命门	气血	命门值	5	1	3	命门值×1+3	8	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	三重	心口	爆发	心口值	3	1	1	心口值×1+1	4	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	三重	目窍	观照	目窍值	4	1	2	目窍值×1+2	6	全六根均衡型：覆盖广，单根系数克制。
NG001	小周天养息功	三重	步根	身势	步根值	4	1	2	步根值×1+2	6	全六根均衡型：覆盖广，单根系数克制。
NG002	铁衣伏虎劲	一重	丹田	护体	丹田值	4	1	1	丹田值×1+1	5	三根专精：护体/气血/爆发较强。
NG002	铁衣伏虎劲	一重	命门	气血	命门值	5	1	3	命门值×1+3	8	三根专精：命门转气血。
NG002	铁衣伏虎劲	一重	心口	爆发	心口值	3	1	1	心口值×1+1	4	三根专精：心口转爆发。
NG002	铁衣伏虎劲	二重	丹田	护体	丹田值	4	2	0	丹田值×2+0	8	三根专精：护体/气血/爆发较强。
NG002	铁衣伏虎劲	二重	命门	气血	命门值	5	2	2	命门值×2+2	12	三根专精：命门转气血。
NG002	铁衣伏虎劲	二重	心口	爆发	心口值	3	2	0	心口值×2+0	6	三根专精：心口转爆发。
NG002	铁衣伏虎劲	三重	丹田	护体	丹田值	4	2	1	丹田值×2+1	9	三根专精：护体/气血/爆发较强。
NG002	铁衣伏虎劲	三重	命门	气血	命门值	5	2	3	命门值×2+3	13	三根专精：命门转气血。
NG002	铁衣伏虎劲	三重	心口	爆发	心口值	3	2	1	心口值×2+1	7	三根专精：心口转爆发。
NG002	铁衣伏虎劲	四重	丹田	护体	丹田值	4	2	2	丹田值×2+2	10	三根专精：护体/气血/爆发较强。
NG002	铁衣伏虎劲	四重	命门	气血	命门值	5	2	4	命门值×2+4	14	三根专精：命门转气血。
NG002	铁衣伏虎劲	四重	心口	爆发	心口值	3	2	2	心口值×2+2	8	三根专精：心口转爆发。
NG003	照影观微诀	一重	顶门	观照	顶门值	5	1	1	顶门值×1+1	6	三根专精：顶门/目窍转观照。
NG003	照影观微诀	一重	目窍	观照	目窍值	4	1	1	目窍值×1+1	5	三根专精：目窍转观照。
NG003	照影观微诀	一重	步根	身势	步根值	4	1	0	步根值×1+0	4	兼顾身势。
NG003	照影观微诀	二重	顶门	观照	顶门值	5	1	2	顶门值×1+2	7	三根专精：顶门/目窍转观照。
NG003	照影观微诀	二重	目窍	观照	目窍值	4	1	2	目窍值×1+2	6	三根专精：目窍转观照。
NG003	照影观微诀	二重	步根	身势	步根值	4	1	1	步根值×1+1	5	兼顾身势。
NG003	照影观微诀	三重	顶门	观照	顶门值	5	2	0	顶门值×2+0	10	三根专精：顶门/目窍转观照。
NG003	照影观微诀	三重	目窍	观照	目窍值	4	2	0	目窍值×2+0	8	三根专精：目窍转观照。
NG003	照影观微诀	三重	步根	身势	步根值	4	2	0	步根值×2+0	8	兼顾身势。
NG003	照影观微诀	四重	顶门	观照	顶门值	5	2	1	顶门值×2+1	11	三根专精：顶门/目窍转观照。
NG003	照影观微诀	四重	目窍	观照	目窍值	4	2	1	目窍值×2+1	9	三根专精：目窍转观照。
NG003	照影观微诀	四重	步根	身势	步根值	4	2	0	步根值×2+0	8	兼顾身势。
NG004	沧澜归息诀	一重	顶门	观照	顶门值	5	1	2	顶门值×1+2	7	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	一重	丹田	回气	丹田值	4	1	2	丹田值×1+2	6	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	一重	命门	气血	命门值	5	1	2	命门值×1+2	7	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	一重	心口	爆发	心口值	3	1	2	心口值×1+2	5	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	一重	目窍	观照	目窍值	4	1	2	目窍值×1+2	6	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	一重	步根	身势	步根值	4	1	2	步根值×1+2	6	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	三重	顶门	观照	顶门值	5	2	1	顶门值×2+1	11	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	三重	丹田	回气	丹田值	4	2	1	丹田值×2+1	9	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	三重	命门	气血	命门值	5	2	1	命门值×2+1	11	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	三重	心口	爆发	心口值	3	2	1	心口值×2+1	7	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	三重	目窍	观照	目窍值	4	2	1	目窍值×2+1	9	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	三重	步根	身势	步根值	4	2	1	步根值×2+1	9	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	五重	顶门	观照	顶门值	5	2	3	顶门值×2+3	13	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	五重	丹田	回气	丹田值	4	2	3	丹田值×2+3	11	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	五重	命门	气血	命门值	5	2	3	命门值×2+3	13	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	五重	心口	爆发	心口值	3	2	3	心口值×2+3	9	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	五重	目窍	观照	目窍值	4	2	3	目窍值×2+3	11	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG004	沧澜归息诀	五重	步根	身势	步根值	4	2	3	步根值×2+3	11	神功全读：占两窍，读广但用层级与占窍支撑强度。
NG005	九死燃命经	一重	命门	气血	命门值	5	2	1	命门值×2+1	11	禁功双根极端：强但需并行/代价控制。
NG005	九死燃命经	一重	心口	爆发	心口值	3	2	1	心口值×2+1	7	禁功双根极端：强爆发。
NG005	九死燃命经	三重	命门	气血	命门值	5	3	1	命门值×3+1	16	禁功双根极端：强但需并行/代价控制。
NG005	九死燃命经	三重	心口	爆发	心口值	3	3	1	心口值×3+1	10	禁功双根极端：强爆发。
NG005	九死燃命经	五重	命门	气血	命门值	5	3	4	命门值×3+4	19	禁功双根极端：强但需并行/代价控制。
NG005	九死燃命经	五重	心口	爆发	心口值	3	3	4	心口值×3+4	13	禁功双根极端：强爆发。
NG006	寒江夜行功	一重	目窍	观照	目窍值	4	1	1	目窍值×1+1	5	俗家偏读三根。
NG006	寒江夜行功	一重	步根	身势	步根值	4	1	2	步根值×1+2	6	步根主身势。
NG006	寒江夜行功	一重	丹田	回气	丹田值	4	1	1	丹田值×1+1	5	丹田作续航辅项。
NG006	寒江夜行功	二重	目窍	观照	目窍值	4	2	0	目窍值×2+0	8	俗家偏读三根。
NG006	寒江夜行功	二重	步根	身势	步根值	4	2	1	步根值×2+1	9	步根主身势。
NG006	寒江夜行功	二重	丹田	回气	丹田值	4	1	0	丹田值×1+0	4	丹田作续航辅项。
NG006	寒江夜行功	三重	目窍	观照	目窍值	4	2	1	目窍值×2+1	9	俗家偏读三根。
NG006	寒江夜行功	三重	步根	身势	步根值	4	2	2	步根值×2+2	10	步根主身势。
NG006	寒江夜行功	三重	丹田	回气	丹田值	4	1	1	丹田值×1+1	5	丹田作续航辅项。

=== Sheet: 内功_03_取气运算 ===
内功ID	内功名	重数	读取六根	气性	六根值变量	示例六根值	乘数	加值	取气值公式	示例取气值	映射表ID	映射产出	备注
NG001	小周天养息功	一重	顶门	原始	顶门值	5	1	0	顶门值×1+0	5	QMAP_STD	1枚d6	开发端警戒：初始低骰阶。
NG001	小周天养息功	一重	丹田	原始	丹田值	4	1	0	丹田值×1+0	4	QMAP_STD	1枚d6	开发端警戒：初始低骰阶。
NG001	小周天养息功	一重	命门	阳	命门值	5	1	0	命门值×1+0	5	QMAP_STD	1枚d6	开发端警戒：初始低骰阶。
NG001	小周天养息功	一重	心口	阳	心口值	3	1	0	心口值×1+0	3	QMAP_STD	1枚d4	开发端警戒：初始低骰阶。
NG001	小周天养息功	一重	目窍	阴	目窍值	4	1	0	目窍值×1+0	4	QMAP_STD	1枚d6	开发端警戒：初始低骰阶。
NG001	小周天养息功	一重	步根	阴	步根值	4	1	0	步根值×1+0	4	QMAP_STD	1枚d6	开发端警戒：初始低骰阶。
NG001	小周天养息功	二重	顶门	原始	顶门值	5	1	1	顶门值×1+1	6	QMAP_STD	1枚d6	稳定到d6；不直接给固定数量。
NG001	小周天养息功	二重	丹田	原始	丹田值	4	1	1	丹田值×1+1	5	QMAP_STD	1枚d6	稳定到d6；不直接给固定数量。
NG001	小周天养息功	二重	命门	阳	命门值	5	1	1	命门值×1+1	6	QMAP_STD	1枚d6	稳定到d6；不直接给固定数量。
NG001	小周天养息功	二重	心口	阳	心口值	3	1	1	心口值×1+1	4	QMAP_STD	1枚d6	稳定到d6；不直接给固定数量。
