
=== Sheet: 00_修订说明 ===
招式库小样本：响应挂载与势前置修订																									
2026年6月19日｜根据最新口径：截击/应招作为招式挂载用法；删除通用招式链前置；增强势前置生态位。																									
修订点	确定口径	数据库变化																							
响应挂载	截击和应招不再默认作为独立招式扩张，而是挂载在外功、法门、装备或少量专门条目上。响应窗口可单独调用挂载效果。	新增“响应挂载明细”表；主表只标记是否挂载截击/应招。																							
独立投入与门槛	截击用法、应招用法有自己的最低投入、气性门槛、势条件、装备许可和资源去向。	响应明细表单独写“最低投入、气性门槛、势条件、装备许可、基础响应效果、槽值触发”。																							
去除招式链前置	普通招式不再默认要求上一招是什么，避免只能按顺序打招式。	主表将“前置门槛”改为“硬前置说明”，大多数为“无”。																							
势前置增强	强度控制主要交给势条件、最低投入、装备许可、距离条件、状态条件和风险。	新增“势条件类型、允许势范围”；强招/强响应可要求单一势。																							
低级招式放宽	低级招式多数无势或宽势，允许多个势状态使用。	低级条目多写“宽势/无势”，不锁单一势。																							
强招限制	中强招式、绝式、强截击、强应招可以要求较窄势范围或单一势。	强度标尺转入“势生态表”。																							

=== Sheet: 01_招式主表 ===
招式ID	招式名	大类	子类	层级	设计档	阴阳路数标签	主用法时点	式位	最低投入	气性门槛	势条件类型	允许势范围	硬前置说明	对象/距离/装备许可	基础效果	主槽触发	合值触发	差值/风险	成招后转势	资源去向	挂载截击	挂载应招	设计备注		
WG001	破浪横刀	外功	主攻	俗家	C	少阳	正式出手	起式	2枚气骰	至少1阳	宽势	阴盛/阳盛/合势/失势	无	近身人物目标；主手刀或同类短兵	造成气血4点	阳值≥7：追加气血3点	合值≥10：目标退距1档	阴阳差≥5：自身破口1层	阳盛	已用常规气骰入息库	是	是	低级起式，无链式前置，响应挂载为轻截击/轻应招		
WG002	回潮压刃	外功	主攻	俗家	B	少阳	正式出手	承式	3枚气骰	至少1阴1阳	宽势	阳盛/合势/圆融	无	近身人物目标；主手刀	造成气血5点	阳值≥8：追加气血3点	合值≥12：目标迟滞1层	阴阳差≥5：自身转入失势	合势	已用常规气骰入息库	是	否	承式不再要求破浪横刀前置，只要求较适合的势范围		
WG003	分涛断势	外功	拆招	行家	B	中平	正式出手	转式	3枚气骰	至少1阴1阳	中势	阴盛/合势/圆融	无	近身人物目标；刀、剑、短兵均可	目标当前势转入失势，或关闭目标1项轻前置许可	阴值≥8：目标锁气中1枚最低点气骰入息库	合值≥14：目标本轮不能声明强招	阴阳差≥6：自身迟滞1层	阴盛	已用常规气骰入息库	是	否	拆招主用法可主动削势，截击挂载更强		
WG004	收刀归息	外功	收式	俗家	B	中平	正式出手	收式	2枚气骰	任意气性	宽势	阴盛/阳盛/合势/圆融	无	自己；需持刀或可收束姿态	自身破口-1或迟滞-1（二选一）	阴值≥7：额外降低1层轻交锋状态	合值≥10：取回1枚最低阶已用常规气骰入气海；限每轮1次	阴阳差≥5：自身失势	圆融	未回收的已用气骰入息库	否	是	收式不再要求本回合已使用本谱外功，改为宽势可用		
WG005	沧浪一线	外功	绝式	行家	A	少阳	正式出手	绝式	6枚气骰	至少3阳2阴	单势	圆融	无	近身人物目标；主手刀；目标线明确	造成气血10点	阳值≥16：追加气血=爆发×1	合值≥22：目标失衡2层	阴阳差≥7：自身崩势	未触发风险为圆融；触发风险为崩势	全部入息库；无普通回气	否	否	强招不靠链式前置，靠圆融势、大投入和风险控制		
WG006	燕回侧步	外功	身法	俗家	C	少阴	正式出手	起式	2枚气骰	至少1阴	宽势	阴盛/合势/失势/圆融	无	自己；近身或相邻距离	移步1档或取得遮蔽	阴值≥7：不触发普通追身机会	合值≥10：关闭一条普通目标线到本动作结束	阴阳差≥5：自身迟滞1层	阴盛	已用常规气骰入息库	是	是	身法起式挂载应招，用于响应窗口单独闪避		
WG007	回身护肩	外功	护人	俗家	B	少阴	正式出手	收式	2枚气骰	至少1阴	宽势	阴盛/合势/圆融	无	自己或相邻同伴；需可介入目标线	为目标建立护人许可至本轮结束	阴值≥7：护人许可额外抵消气血2点	合值≥10：可承接一项轻状态	阴阳差≥5：自身迟滞1层	不改势	已用常规气骰入息库	否	是	主用法准备护人，应招挂载处理即时落果		
WG008	截腕挑锋	外功	拆招	俗家	B	少阴	正式出手	转式	2枚气骰	至少1阴	宽势	阴盛/合势/失势	无	近身目标；空手、短兵或副手兵器	目标本轮持械许可受扰：下一次持械招最低投入+1枚气骰	阴值≥7：目标破口1层	合值≥10：目标副手许可关闭至本轮结束	阴阳差≥5：自身破口1层	阴盛	已用常规气骰入息库	是	否	主用法是主动压腕，截击挂载处理对方宣言		
WG009	夺器压腕	外功	拆招	行家	B	少阴	正式出手	转式	4枚气骰	至少2阴	中势	阴盛/圆融	无	近身；空手、短兵或软兵；目标持械	目标武器进入脱手威胁；下一次依赖该武器的动作需额外投入1枚气骰	阴值≥9：目标武器脱手落在近身区域	合值≥14：同时关闭目标本轮持械许可	阴阳差≥6：自身破口1层	阴盛	已用常规气骰入息库	是	否	高阶缴械靠势和投入，不靠上一招前置		
FM001	听痕辨路	法门	查探	俗家	C	少阴	正式出手/情景	无	2枚气骰	至少1阴	无势	任意	无	道路、房间、尸身周边或机关痕迹	取得1条明确痕迹；解密+1	阴值≥7：确认痕迹方向或新旧	合值≥10：危机-1	阴阳差≥5：危机+1，并记录误判线索名	不改势	已用常规气骰入息库	是	否	法门可挂载轻截击，用于阻止潜行/误导等情景动作		
